#Software: Microsoft Internet Information Services 10.0
#Version: 1.0
#Date: 2022-07-31 06:00:06
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2022-07-31 06:00:06 192.168.0.23 GET / - 80 - 167.94.138.44 - - 200 0 0 155
2022-07-31 06:00:06 192.168.0.23 GET / - 80 - 167.94.138.44 Mozilla/5.0+(compatible;+CensysInspect/1.1;++https://about.censys.io/) - 200 0 0 55
2022-07-31 06:01:20 192.168.0.23 GET /.env - 80 - 176.31.134.82 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98) - 404 0 2 205
2022-07-31 06:01:20 192.168.0.23 GET /dev/.env - 80 - 176.31.134.82 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98) - 404 0 2 208
2022-07-31 06:01:20 192.168.0.23 GET /server/.env - 80 - 176.31.134.82 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98) - 404 0 2 214
2022-07-31 06:01:21 192.168.0.23 GET /crm/.env - 80 - 176.31.134.82 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98) - 404 0 2 208
2022-07-31 06:01:21 192.168.0.23 GET /shop/.env - 80 - 176.31.134.82 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98) - 404 0 2 205
2022-07-31 06:01:21 192.168.0.23 GET /dash/.env - 80 - 176.31.134.82 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98) - 404 0 2 207
2022-07-31 06:01:22 192.168.0.23 GET /dashboard/.env - 80 - 176.31.134.82 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98) - 404 0 2 217
2022-07-31 06:01:22 192.168.0.23 GET /backend/.env - 80 - 176.31.134.82 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98) - 404 0 2 215
2022-07-31 06:01:22 192.168.0.23 GET /public/.env - 80 - 176.31.134.82 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98) - 404 0 2 210
2022-07-31 06:01:24 192.168.0.23 GET /main/.env - 80 - 176.31.134.82 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98) - 404 0 2 214
2022-07-31 06:01:24 192.168.0.23 GET /app/.env - 80 - 176.31.134.82 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98) - 404 0 2 211
2022-07-31 06:01:24 192.168.0.23 GET /web/.env - 80 - 176.31.134.82 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98) - 404 0 2 207
2022-07-31 06:01:25 192.168.0.23 GET /btc/.env - 80 - 176.31.134.82 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98) - 404 0 2 210
2022-07-31 06:01:25 192.168.0.23 GET /development/.env - 80 - 176.31.134.82 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98) - 404 0 2 209
2022-07-31 06:01:25 192.168.0.23 GET /trade/.env - 80 - 176.31.134.82 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98) - 404 0 2 205
2022-07-31 06:01:26 192.168.0.23 GET /broker/.env - 80 - 176.31.134.82 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98) - 404 0 2 208
2022-07-31 06:01:26 192.168.0.23 GET /seller/.env - 80 - 176.31.134.82 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98) - 404 0 2 205
2022-07-31 06:01:26 192.168.0.23 GET /buy/.env - 80 - 176.31.134.82 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98) - 404 0 2 210
2022-07-31 06:01:27 192.168.0.23 GET /live/.env - 80 - 176.31.134.82 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98) - 404 0 2 206
2022-07-31 06:01:27 192.168.0.23 GET /crypto/.env - 80 - 176.31.134.82 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98) - 404 0 2 206
2022-07-31 06:01:27 192.168.0.23 GET /core/.env - 80 - 176.31.134.82 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98) - 404 0 2 212
2022-07-31 06:01:28 192.168.0.23 GET /staging/.env - 80 - 176.31.134.82 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98) - 404 0 2 206
2022-07-31 06:01:28 192.168.0.23 GET /blog/.env - 80 - 176.31.134.82 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98) - 404 0 2 205
2022-07-31 06:01:28 192.168.0.23 GET /Script/.env - 80 - 176.31.134.82 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+98) - 404 0 2 180
#Software: Microsoft Internet Information Services 10.0
#Version: 1.0
#Date: 2022-07-31 06:40:40
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2022-07-31 06:40:40 192.168.0.23 GET /_ignition/execute-solution - 80 - 185.7.214.104 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/78.0.3904.108+Safari/537.36 - 404 0 2 418
