#Software: Microsoft Internet Information Services 10.0
#Version: 1.0
#Date: 2022-08-01 01:38:38
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2022-08-01 01:38:38 192.168.0.23 GET / - 80 - 66.203.112.229 Linux+Gnu+(cow) - 200 0 64 420
#Software: Microsoft Internet Information Services 10.0
#Version: 1.0
#Date: 2022-08-01 01:53:58
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2022-08-01 01:53:58 127.0.0.1 GET /wpad.dat - 80 - 127.0.0.1 WinHttp-Autoproxy-Service/5.1 - 404 0 2 2296
2022-08-01 01:53:58 127.0.0.1 GET /wpad.dat - 80 - 127.0.0.1 WinHttp-Autoproxy-Service/5.1 - 404 0 2 92
2022-08-01 01:53:58 127.0.0.1 GET /wpad.dat - 80 - 127.0.0.1 WinHttp-Autoproxy-Service/5.1 - 404 0 2 0
2022-08-01 01:54:14 127.0.0.1 GET /wpad.dat - 80 - 127.0.0.1 WinHttp-Autoproxy-Service/5.1 - 404 0 2 0
2022-08-01 01:55:14 127.0.0.1 GET /wpad.dat - 80 - 127.0.0.1 WinHttp-Autoproxy-Service/5.1 - 404 0 2 1
2022-08-01 01:57:15 127.0.0.1 GET /wpad.dat - 80 - 127.0.0.1 Mozilla/5.0+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/72.3.3626.1895+Safari/537.36+Avastium+(0.0.0) - 404 0 2 5
2022-08-01 01:57:16 127.0.0.1 GET /wpad.dat - 80 - 127.0.0.1 Mozilla/5.0+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/72.3.3626.1895+Safari/537.36+Avastium+(0.0.0) - 404 0 2 1
2022-08-01 01:57:23 127.0.0.1 GET /wpad.dat - 80 - 127.0.0.1 Mozilla/5.0+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/72.3.3626.1895+Safari/537.36+Avastium+(0.0.0) - 404 0 2 0
2022-08-01 01:57:24 127.0.0.1 GET /wpad.dat - 80 - 127.0.0.1 Mozilla/5.0+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/72.3.3626.1895+Safari/537.36+Avastium+(0.0.0) - 404 0 2 0
2022-08-01 01:57:36 127.0.0.1 GET /wpad.dat - 80 - 127.0.0.1 WinHttp-Autoproxy-Service/5.1 - 404 0 2 0
