#Software: Microsoft Internet Information Services 10.0
#Version: 1.0
#Date: 2022-08-03 01:39:32
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2022-08-03 01:39:32 192.168.0.23 GET /stalker_portal/server/tools/auth_simple.php - 80 - 180.149.125.167 Mozilla/5.0+(Windows+NT+5.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.90+Safari/537.36 - 404 0 2 922
2022-08-03 01:39:52 127.0.0.1 POST /scm/phpMyadmin/index.php route=/ 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 - 200 0 0 2388
2022-08-03 01:39:52 127.0.0.1 GET /favicon.ico - 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 http://localhost/scm/phpMyadmin/index.php?route=/ 404 0 2 16
2022-08-03 01:39:55 127.0.0.1 GET /scm/phpMyadmin/index.php route=/&route=%2F 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 - 200 0 0 2566
2022-08-03 01:39:55 127.0.0.1 GET /scm/phpMyadmin/js/vendor/jquery/jquery-migrate.js v=5.2.0 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 - 200 0 0 371
2022-08-03 01:39:55 127.0.0.1 GET /scm/phpMyadmin/js/vendor/jquery/jquery.min.js v=5.2.0 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 - 200 0 64 378
2022-08-03 01:39:55 127.0.0.1 GET /scm/phpMyadmin/js/dist/ajax.js v=5.2.0 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 - 200 0 0 423
2022-08-03 01:39:55 127.0.0.1 GET /scm/phpMyadmin/js/dist/keyhandler.js v=5.2.0 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 - 200 0 0 444
2022-08-03 01:39:55 127.0.0.1 GET /scm/phpMyadmin/js/vendor/jquery/jquery-ui.min.js v=5.2.0 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 - 200 0 0 407
2022-08-03 01:39:55 127.0.0.1 GET /scm/phpMyadmin/js/dist/name-conflict-fixes.js v=5.2.0 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 - 200 0 0 119
2022-08-03 01:39:55 127.0.0.1 GET /scm/phpMyadmin/js/vendor/sprintf.js v=5.2.0 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 - 200 0 64 506
2022-08-03 01:39:55 127.0.0.1 GET /scm/phpMyadmin/js/vendor/bootstrap/bootstrap.bundle.min.js v=5.2.0 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 - 200 0 0 99
2022-08-03 01:39:55 127.0.0.1 GET /scm/phpMyadmin/js/vendor/js.cookie.js v=5.2.0 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 - 200 0 0 94
2022-08-03 01:39:55 127.0.0.1 GET /scm/phpMyadmin/js/vendor/jquery/jquery.validate.js v=5.2.0 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 - 200 0 0 89
2022-08-03 01:39:55 127.0.0.1 GET /scm/phpMyadmin/js/vendor/jquery/jquery-ui-timepicker-addon.js v=5.2.0 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 - 200 0 0 66
2022-08-03 01:39:55 127.0.0.1 GET /scm/phpMyadmin/js/vendor/jquery/jquery.debounce-1.0.6.js v=5.2.0 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 - 200 0 0 120
2022-08-03 01:39:55 127.0.0.1 GET /scm/phpMyadmin/js/dist/menu_resizer.js v=5.2.0 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 - 200 0 0 177
2022-08-03 01:39:55 127.0.0.1 GET /scm/phpMyadmin/js/dist/cross_framing_protection.js v=5.2.0 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 - 200 0 0 154
